submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
05/04/2020,KY,"5,245","5,245",0,115,0,261,261,0,8,0,05/05/2020 05:25:08 PM,Agree,Agree
03/23/2020,NH,101,,,23,,1,,,1,,03/26/2020 04:22:39 PM,Not agree,Not agree
04/11/2020,IL,"19,180",,,"1,293",,677,,,81,,04/10/2020 04:22:39 PM,Agree,Agree
01/01/2021,FL,"1,300,528",,,0,"6,063","21,673",,,0,7,01/02/2021 02:50:51 PM,Not agree,Not agree
04/09/2020,PA,"18,228",,,"1,989",,338,,,28,,04/08/2020 04:22:39 PM,Agree,Not agree
08/21/2020,MD,"103,523",,,624,0,"3,685","3,546",139,11,1,08/22/2020 02:21:09 PM,N/A,Agree
04/30/2020,IA,"7,145",,,302,0,162,,,14,0,05/01/2020 09:00:19 PM,Not agree,Not agree
02/26/2020,UT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/12/2020,NJ,29,,,6,,1,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
09/21/2020,MP,69,69,0,0,0,2,2,0,0,0,09/22/2020 01:51:57 PM,Agree,Agree
06/25/2020,NE,"18,346",,,125,0,260,,,3,0,06/26/2020 07:18:27 PM,Not agree,Not agree
02/24/2020,CA,10,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
06/28/2020,PA,"85,988","83,529","2,459",492,13,"6,614",,,8,4,06/29/2020 02:37:31 PM,Agree,Not agree
05/04/2020,WV,"1,224","1,224",0,29,0,50,,,0,0,05/05/2020 05:25:08 PM,Agree,Not agree
04/07/2020,GU,122,,,11,,4,,,0,,04/07/2020 04:22:39 PM,Not agree,Not agree
07/01/2020,FSM,0,0,0,0,0,0,0,0,0,0,07/02/2020 03:10:03 PM,Agree,Agree
12/02/2020,NY,"346,492",,,"5,775",0,"10,117",,,56,0,12/03/2020 03:21:08 PM,Not agree,Not agree
01/23/2020,WY,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
11/14/2020,NJ,"295,012",,,"4,856",503,"16,548","14,747","1,801",26,0,02/19/2021 01:38:31 PM,Not agree,Agree
11/15/2020,WA,"130,040",,,"2,309",0,"2,519",,,0,0,11/16/2020 06:40:02 PM,N/A,N/A
01/29/2020,MA,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
08/23/2020,TN,"143,937","141,000","2,937","1,854",38,"1,567","1,527",40,4,0,08/24/2020 01:54:34 PM,Agree,Agree
01/24/2020,NH,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
06/21/2020,OR,"6,937","6,700",237,187,237,190,188,2,1,2,06/22/2020 03:24:02 PM,Agree,Agree
09/26/2020,PW,0,,,0,0,0,,,0,0,09/27/2020 01:39:49 PM,,
05/16/2020,AS,0,,,0,0,0,,,0,0,05/17/2020 03:27:46 PM,,
03/13/2020,MS,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
09/08/2020,PW,0,,,0,0,0,,,0,0,09/09/2020 01:47:50 PM,,
05/26/2020,MA,"93,693","93,693",0,422,0,"6,473","6,473",0,57,0,05/27/2020 03:37:59 PM,Agree,Agree
07/29/2020,NV,"46,021",,,870,0,806,,,21,0,07/30/2020 02:42:43 PM,,
08/01/2020,ME,"3,958","3,535",423,21,2,123,122,1,0,0,08/02/2020 02:54:37 PM,Agree,Agree
03/28/2020,NH,214,,,27,,2,,,0,,03/28/2020 04:22:39 PM,Not agree,Not agree
05/04/2020,MP,14,14,0,0,0,2,2,0,0,0,05/05/2020 05:25:08 PM,Agree,Agree
12/02/2020,AR,"161,521",,,"2,212",705,"2,522",,,10,2,12/03/2020 03:21:08 PM,Not agree,Not agree
06/07/2020,PW,0,,,0,0,0,,,0,0,06/08/2020 02:55:08 PM,,
05/08/2020,NJ,"135,519",,,"1,834",15,"8,952","8,952",0,151,0,02/19/2021 01:38:31 PM,Not agree,Agree
05/14/2020,VA,"28,672","27,293","1,379",859,35,977,944,33,22,5,05/15/2020 04:11:22 PM,Agree,Agree
01/09/2021,AR,"251,746",,,"2,886",735,"4,010",,,44,10,01/10/2021 04:10:55 PM,Not agree,Not agree
03/15/2020,MA,164,,,55,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
05/28/2020,IL,"115,833","115,833",0,"1,527",0,"5,186","5,186",0,103,0,05/29/2020 02:19:55 PM,Agree,Agree
08/05/2020,WY,"2,923","2,424",499,39,7,27,27,0,0,0,08/06/2020 02:12:27 PM,Agree,Agree
10/28/2020,ID,"61,785","54,193","7,592",862,208,599,555,44,14,0,10/29/2020 02:11:33 PM,Agree,Agree
05/31/2020,DC,"8,801",,,84,0,466,,,4,0,06/01/2020 02:17:42 PM,,
08/18/2020,AZ,"194,920","193,416","1,504",915,13,"4,529","4,273",256,23,2,08/19/2020 02:23:51 PM,Agree,Agree
07/12/2020,DE,"12,879","11,898",981,-99,-63,517,459,58,-1,1,07/13/2020 03:19:34 PM,Agree,Agree
09/19/2020,IN,"110,759",,,"1,076",0,"3,503","3,278",225,8,0,09/20/2020 01:53:10 PM,Not agree,Agree
02/29/2020,MP,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
06/09/2020,NV,"10,030",,,225,-19,444,,,-17,-19,06/10/2020 08:56:25 PM,,
10/14/2020,DE,"22,465","21,380","1,085",71,2,660,580,80,1,0,10/15/2020 01:30:46 PM,Agree,Agree
05/22/2020,OR,"3,864","3,770",94,47,2,147,147,0,2,0,05/23/2020 05:58:16 PM,Agree,Agree
02/08/2020,OR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/18/2020,OR,75,,,10,,3,,,2,,03/26/2020 04:22:39 PM,Agree,Agree
02/14/2020,RI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,N/A
01/30/2021,FSM,1,1,0,0,0,0,0,0,0,0,01/31/2021 02:48:12 PM,Agree,Agree
03/23/2020,ME,109,,,16,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/11/2021,OR,"149,082","147,362","1,720",607,0,"2,056","2,041",15,12,0,02/12/2021 02:56:38 PM,Agree,Agree
12/04/2020,PR,"55,532","53,633","1,899",935,86,"1,184",955,229,12,0,12/05/2020 02:29:17 PM,Agree,Agree
04/22/2020,NJ,"95,865","95,865",0,"3,478",0,"5,063","5,063",0,310,0,04/22/2020 04:22:39 PM,Agree,Agree
02/07/2021,RMI,4,4,0,0,0,0,0,0,0,0,02/08/2021 02:53:12 PM,Agree,Agree
10/06/2020,MT,"15,723","15,723",0,425,0,192,192,0,1,0,10/07/2020 01:45:01 PM,Agree,Agree
11/03/2020,NY,"248,091",,,"1,519",0,"9,290",,,8,0,11/04/2020 03:03:00 PM,Not agree,Not agree
07/14/2020,MS,"37,542","37,198",344,0,0,"1,272","1,249",23,-1,0,07/15/2020 03:05:12 PM,Agree,Agree
09/23/2020,NE,"42,278",,,493,0,462,,,1,0,09/24/2020 01:54:02 PM,Not agree,Not agree
08/13/2020,VT,"1,484",,,6,0,58,,,0,0,08/14/2020 02:30:03 PM,Not agree,Not agree
06/18/2020,WA,"27,192",,,408,0,"1,245",,,19,0,06/19/2020 03:01:11 PM,N/A,N/A
02/27/2020,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
12/06/2020,AK,"35,720",,,757,0,142,,,0,0,12/07/2020 02:38:33 PM,N/A,N/A
01/12/2021,AS,3,,,0,0,0,,,0,0,01/13/2021 02:44:58 PM,,
03/17/2020,NM,23,,,2,,0,,,0,,03/26/2020 04:22:39 PM,N/A,Not agree
08/31/2020,KS,"42,612","41,425","1,187","1,564",0,446,,,3,0,09/01/2020 02:09:34 PM,Agree,N/A
03/11/2020,NY,164,,,27,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
02/28/2020,NJ,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
12/29/2020,TX,"1,715,978",,,"32,552","4,532","26,762",,,241,0,12/30/2020 02:56:20 PM,Not agree,Not agree
11/17/2020,OK,"169,762","143,221","26,541","7,389","1,406","1,592","1,531",61,49,6,11/18/2020 02:57:46 PM,Agree,Agree
01/12/2021,IA,"298,406",,,"1,105",460,"4,222",,,83,83,01/13/2021 02:44:58 PM,Not agree,Not agree
03/09/2020,NYC,17,,,5,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/11/2021,ND,"94,968","91,357","3,611",138,89,"1,355",,,3,0,01/12/2021 02:48:35 PM,Agree,Not agree
12/15/2020,FSM,0,0,0,0,0,0,0,0,0,0,12/16/2020 02:28:57 PM,Agree,Agree
07/23/2020,MP,38,38,0,0,0,2,2,0,0,0,07/24/2020 02:18:40 PM,Agree,Agree
10/30/2020,TN,"259,488","244,886","14,602","2,608",297,"3,341","3,156",185,78,9,10/31/2020 01:30:31 PM,Agree,Agree
07/02/2020,HI,956,,,28,0,18,,,0,0,07/03/2020 11:01:33 AM,Not agree,Not agree
10/28/2020,AR,"108,640",,,961,271,"1,875",,,18,0,10/29/2020 02:11:33 PM,Not agree,Not agree
09/07/2020,WV,"11,575","11,368",207,163,9,247,,,1,0,09/08/2020 02:47:00 PM,Agree,Not agree
07/31/2020,IN,"66,154",,,901,0,"2,965","2,765",200,19,0,08/01/2020 02:38:12 PM,Not agree,Agree
10/22/2020,WV,"21,057","19,907","1,150",323,80,418,,,5,0,10/23/2020 01:44:31 PM,Agree,Not agree
01/27/2021,AL,"449,086","354,967","94,119","3,177","1,128","7,172","5,817","1,355",276,97,01/28/2021 02:49:07 PM,Agree,Agree
08/21/2020,KS,"36,856","35,895",961,966,13,419,,,8,0,08/22/2020 02:21:09 PM,Agree,N/A
11/27/2020,KS,"153,021","132,785","20,236","5,224",588,"1,529",,,26,5,11/28/2020 02:46:47 PM,Agree,N/A
08/17/2020,PW,0,,,0,0,0,,,0,0,08/18/2020 02:26:55 PM,,
01/23/2021,AL,"439,442","348,017","91,425","3,355","1,015","6,657","5,464","1,193",171,57,01/24/2021 02:36:49 PM,Agree,Agree
01/29/2020,HI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
02/09/2020,WV,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
08/02/2020,VT,"1,426",,,5,0,57,,,0,0,08/03/2020 02:31:01 PM,Not agree,Not agree
06/23/2020,PW,0,,,0,0,0,,,0,0,06/24/2020 03:03:27 PM,,
09/06/2020,UT,"55,347","54,878",469,341,3,421,421,0,1,0,09/07/2020 01:37:36 PM,Agree,Agree
02/23/2020,MN,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,N/A,Agree
02/24/2020,MD,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,N/A,Agree
11/06/2020,NM,"52,394",,,"1,284",0,"1,088",,,6,0,11/07/2020 02:45:17 PM,N/A,Not agree
01/05/2021,UT,"288,951","288,951",0,"3,318",0,"1,312","1,283",29,7,0,01/06/2021 02:58:26 PM,Agree,Agree
02/09/2020,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
03/12/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
09/19/2020,FL,"673,194",,,"3,510",339,"13,287",,,62,9,09/20/2020 01:53:10 PM,Not agree,Not agree
09/23/2020,IN,"113,337",,,711,0,"3,530","3,305",225,10,0,09/24/2020 01:54:02 PM,Not agree,Agree
09/12/2020,NJ,"200,405",,,476,27,"16,027","14,238","1,789",4,0,02/19/2021 01:38:31 PM,Not agree,Agree
04/19/2020,FL,"25,598",,,801,0,774,,,26,0,04/19/2020 04:22:39 PM,Not agree,Not agree
10/10/2020,AL,"164,526","144,901","19,625","1,061",60,"2,664","2,508",156,11,-1,10/11/2020 01:47:22 PM,Agree,Agree
05/15/2020,KS,"7,886","7,886",0,418,0,172,,,8,0,05/16/2020 03:46:44 PM,Agree,N/A
12/26/2020,FSM,0,0,0,0,0,0,0,0,0,0,12/27/2020 02:44:47 PM,Agree,Agree
02/12/2020,OR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/05/2020,NV,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
04/28/2020,DE,"4,655","4,526",129,80,0,144,133,11,7,0,04/29/2020 06:12:08 PM,Agree,Agree
10/07/2020,PA,"166,552","160,772","5,780","1,309",127,"8,272",,,28,-16,10/08/2020 01:56:57 PM,Agree,Not agree
10/20/2020,UT,"96,643","96,643",0,"1,081",0,551,546,5,5,0,10/21/2020 01:34:31 PM,Agree,Agree
01/26/2020,UT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/16/2021,OH,"821,507","725,111","96,396","7,065","1,596","10,135","9,080","1,055",78,28,01/17/2021 03:43:14 PM,Agree,Agree
12/19/2020,VT,"6,343",,,100,2,108,,,1,0,12/20/2020 02:32:33 PM,Not agree,Not agree
02/14/2021,AR,"313,028",,,466,33,"5,265",,,13,2,02/15/2021 02:46:24 PM,Not agree,Not agree
07/30/2020,CO,"46,204","43,032","3,172",408,2,"1,822","1,483",339,0,0,07/31/2020 02:35:06 PM,Agree,Agree
08/15/2020,MT,"5,659","5,659",0,118,0,82,82,0,1,0,08/16/2020 02:57:14 PM,Agree,Agree
01/02/2021,PA,"657,292","589,213","68,079","9,253","1,300","16,239",,,25,23,01/03/2021 02:53:25 PM,Agree,Not agree
05/05/2020,IN,"21,033",,,526,0,"1,326","1,213",113,62,0,05/06/2020 04:23:08 PM,Not agree,Agree
08/28/2020,RMI,0,0,0,0,0,0,0,0,0,0,08/29/2020 01:42:50 PM,Agree,Agree
12/26/2020,DC,"27,710",,,274,0,762,,,6,0,12/27/2020 02:44:47 PM,,
03/25/2020,OH,704,,,140,,10,,,2,,03/26/2020 04:22:39 PM,Agree,Agree
10/11/2020,TX,"792,478",,,"2,418",0,"16,557",,,31,0,10/12/2020 02:07:08 PM,Not agree,Not agree
02/01/2020,WI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
09/10/2020,WA,"78,467",,,458,0,"1,985",,,7,0,09/11/2020 01:51:03 PM,N/A,N/A
02/10/2020,OR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
04/17/2020,FSM,0,,,0,,0,,,0,,04/17/2020 04:22:39 PM,Agree,Agree
07/20/2020,MP,38,38,0,1,0,2,2,0,0,0,07/21/2020 02:50:17 PM,Agree,Agree
07/05/2020,CT,"46,717","44,741","1,976",0,0,"4,335","3,463",872,0,0,07/06/2020 03:16:12 PM,Agree,Agree
03/22/2020,PA,479,,,108,,2,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
01/06/2021,TN,"625,237","542,490","82,747","7,588","2,226","7,381","6,326","1,055",114,29,01/07/2021 02:56:59 PM,Agree,Agree
11/06/2020,PW,0,,,0,0,0,,,0,0,11/07/2020 02:45:17 PM,,
08/01/2020,AZ,"177,022","177,022",0,"3,012",0,"3,747","3,747",0,53,0,08/02/2020 02:54:37 PM,Agree,Agree
10/08/2020,TN,"209,447","200,103","9,344","1,992",294,"2,705","2,591",114,63,2,10/09/2020 01:43:36 PM,Agree,Agree
04/14/2020,HI,524,,,11,0,9,,,0,,04/13/2020 12:22:39 PM,Not agree,Not agree
07/30/2020,KS,"26,870","26,327",543,0,0,349,,,0,0,07/31/2020 02:35:06 PM,Agree,N/A
09/27/2020,SD,"21,541",,,408,0,218,216,2,0,0,09/28/2020 01:50:59 PM,N/A,Agree
07/22/2020,CO,"41,698","38,562","3,136",639,24,"1,771","1,435",336,8,3,07/23/2020 02:48:19 PM,Agree,Agree
01/26/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/14/2021,TN,"670,482","576,406","94,076","4,983","1,196","8,232","6,909","1,323",84,31,01/15/2021 02:46:04 PM,Agree,Agree
04/18/2020,SD,"1,542",,,131,,7,,,0,,04/18/2020 04:22:39 PM,N/A,Agree
05/01/2020,OH,"18,743","17,962",781,716,39,"1,002",922,80,27,3,05/02/2020 03:47:19 PM,Agree,Agree
02/11/2020,NYC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/02/2020,OH,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/08/2020,DC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
12/13/2020,IL,"848,904","848,904",0,"7,216",0,"15,339","14,291","1,048",107,-8,12/14/2020 02:36:45 PM,Agree,Agree
02/18/2020,AR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
03/20/2020,NH,55,,,11,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
07/23/2020,DC,"11,571",,,42,0,581,,,1,0,07/24/2020 02:18:40 PM,,
11/04/2020,FSM,0,0,0,0,0,0,0,0,0,0,11/05/2020 02:39:23 PM,Agree,Agree
10/21/2020,NE,"60,308",,,899,0,576,,,11,0,10/22/2020 01:34:46 PM,Not agree,Not agree
09/07/2020,RI,"22,243",,,0,0,"1,055",,,0,0,09/08/2020 02:47:00 PM,Not agree,N/A
01/20/2021,AZ,"690,544","652,191","38,353","4,845",357,"11,528","10,341","1,187",262,49,01/21/2021 02:44:32 PM,Agree,Agree
11/23/2020,MA,"211,731","201,835","9,896","1,785",0,"10,507","10,299",208,18,0,11/24/2020 03:27:55 PM,Agree,Agree
05/16/2020,WI,"12,187","12,187",0,502,0,453,453,0,8,0,05/17/2020 03:27:46 PM,Agree,Agree
12/07/2020,IL,"796,264","796,264",0,"8,691",0,"14,216","13,343",873,100,12,12/08/2020 02:59:49 PM,Agree,Agree
06/22/2020,OR,"7,083","6,836",247,146,10,192,190,2,2,0,06/23/2020 02:28:19 PM,Agree,Agree
01/22/2021,SC,"420,646","373,061","47,585","4,433",784,"6,987",,,79,4,02/08/2021 12:00:00 AM,Agree,Not agree
07/28/2020,RMI,0,0,0,0,0,0,0,0,0,0,07/29/2020 02:34:46 PM,Agree,Agree
10/10/2020,SC,"156,415","149,844","6,571","1,185",157,"3,620",,,17,0,02/08/2021 12:00:00 AM,Agree,Not agree
03/22/2020,MN,236,,,99,,1,,,0,,03/26/2020 04:22:39 PM,N/A,Agree
05/19/2020,UT,"7,595","7,595",0,136,0,91,91,0,6,0,05/20/2020 03:28:26 PM,Agree,Agree
06/16/2020,CT,"45,349","43,415","1,934",114,2,"4,210","3,362",848,6,0,06/17/2020 03:06:04 PM,Agree,Agree
05/18/2020,NJ,"148,219",,,"1,720",15,"10,435","10,435",0,79,0,02/19/2021 01:38:31 PM,Not agree,Agree
09/21/2020,RI,"23,932",,,312,0,"1,097",,,9,0,09/22/2020 01:51:57 PM,Not agree,N/A
02/07/2020,VI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
05/08/2020,TN,"14,512","14,441",71,346,1,241,241,0,4,0,05/09/2020 09:26:08 PM,Agree,Agree
12/29/2020,OR,"111,227","109,507","1,720",682,0,"1,449","1,434",15,16,0,12/30/2020 02:56:20 PM,Agree,Agree
12/17/2020,MS,"190,411","137,808","52,603","2,507","1,534","4,354","3,615",739,34,13,12/18/2020 02:45:01 PM,Agree,Agree
12/06/2020,AS,3,,,0,0,0,,,0,0,12/07/2020 02:38:33 PM,,
01/06/2021,AL,"384,184","308,269","75,915","4,591","1,412","4,994","4,346",648,108,28,01/07/2021 02:56:59 PM,Agree,Agree
11/03/2020,PA,"214,871","204,363","10,508","2,875",276,"8,855",,,32,9,11/04/2020 03:03:00 PM,Agree,Not agree
03/01/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
07/21/2020,ID,"15,822","14,860",962,556,33,126,103,23,4,1,07/22/2020 02:51:28 PM,Agree,Agree
07/10/2020,ME,"3,499","3,110",389,0,0,111,111,0,0,-1,07/11/2020 06:25:05 PM,Agree,Agree
06/15/2020,MT,612,612,0,3,0,19,19,0,0,0,06/16/2020 02:10:11 PM,Agree,Agree
11/07/2020,RMI,1,1,0,0,0,0,0,0,0,0,11/08/2020 02:40:34 PM,Agree,Agree
08/26/2020,HI,"7,540",,,306,0,51,,,2,0,08/27/2020 09:42:08 AM,Not agree,Not agree
02/16/2021,ID,"167,945","136,513","31,432",462,98,"1,806","1,589",217,3,1,02/17/2021 02:51:58 PM,Agree,Agree
12/31/2020,AZ,"520,207","495,117","25,090","7,718",904,"8,864","8,006",858,146,32,01/01/2021 02:49:07 PM,Agree,Agree
02/02/2021,WI,"594,217","544,260","49,957","1,296",201,"6,480","5,937",543,44,4,02/03/2021 02:55:58 PM,Agree,Agree
02/01/2020,WV,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
01/25/2021,GA,"870,828","722,062","148,766","3,917",387,"13,303","11,854","1,449",53,0,01/26/2021 02:46:01 PM,Agree,Agree
12/10/2020,KS,"179,803","153,559","26,244",0,0,"1,941",,,0,0,12/11/2020 03:06:51 PM,Agree,N/A
07/24/2020,PA,"106,625","103,632","2,993","1,054",24,"7,114",,,13,6,07/25/2020 05:40:06 PM,Agree,Not agree
11/17/2020,MI,"296,840","272,034","24,806","7,886",428,"8,511","8,128",383,80,1,11/18/2020 02:57:46 PM,Agree,Agree
05/07/2020,AK,374,,,2,0,10,,,0,0,05/08/2020 09:26:08 PM,N/A,N/A
11/27/2020,OH,"399,808","378,082","21,726","17,065",606,"6,346","5,932",414,72,9,11/28/2020 02:46:47 PM,Agree,Agree
10/13/2020,ME,"5,816","5,191",625,36,5,143,142,1,0,0,10/14/2020 01:28:39 PM,Agree,Agree
08/04/2020,OR,"19,699","19,699",0,333,0,333,333,0,5,0,08/05/2020 02:13:18 PM,Agree,Agree
03/19/2020,MS,80,,,30,,1,,,1,,03/26/2020 04:22:39 PM,Agree,Agree
04/29/2020,NE,"3,784",,,410,0,68,,,13,0,04/30/2020 04:07:01 PM,Not agree,Not agree
12/10/2020,GA,"525,402","462,175","63,227","7,623","1,561","9,975","9,123",852,54,4,12/11/2020 03:06:51 PM,Agree,Agree
08/15/2020,SD,"10,118",,,94,0,152,150,2,2,2,08/16/2020 02:57:14 PM,N/A,Agree
09/21/2020,PA,"150,812","146,281","4,531",234,10,"8,004",,,48,50,09/22/2020 01:51:57 PM,Agree,Not agree
10/07/2020,CO,"74,922","69,748","5,174",731,32,"2,085","1,720",365,4,2,10/08/2020 01:56:57 PM,Agree,Agree
06/26/2020,NJ,"171,476",,,412,24,"14,914","13,060","1,854",42,0,02/19/2021 01:38:31 PM,Not agree,Agree
01/02/2021,AS,3,,,0,0,0,,,0,0,01/03/2021 02:53:25 PM,,
10/17/2020,VI,"1,335",,,6,0,21,,,0,0,10/18/2020 01:26:54 PM,,
12/06/2020,DC,"23,136",,,264,0,697,,,2,0,12/07/2020 02:38:33 PM,,
04/19/2020,HI,576,,,4,0,10,,,1,0,04/19/2020 12:22:39 PM,Not agree,Not agree
09/21/2020,SD,"18,869",,,173,0,202,200,2,0,0,09/22/2020 01:51:57 PM,N/A,Agree
03/08/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
11/21/2020,MO,"271,527",,,"9,091",0,"3,559",,,22,0,11/22/2020 03:02:23 PM,Not agree,Not agree
04/29/2020,DE,"4,734","4,605",129,79,0,152,141,11,8,0,04/30/2020 04:07:01 PM,Agree,Agree
01/08/2021,PA,"703,265","624,688","78,577","10,178","2,009","17,394",,,215,155,01/09/2021 03:26:08 PM,Agree,Not agree
09/29/2020,VI,"1,318",,,0,0,20,,,0,0,09/30/2020 02:17:41 PM,,
03/06/2020,GA,8,8,0,6,0,0,,,0,,03/26/2020 12:22:39 PM,Agree,Agree
11/05/2020,NJ,"262,100",,,"2,575",613,"16,403","14,603","1,800",12,0,02/19/2021 01:38:31 PM,Not agree,Agree
07/09/2020,ME,"3,499","3,110",389,13,-5,111,110,1,0,0,07/10/2020 03:35:06 PM,Agree,Agree
02/29/2020,CA,12,,,1,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
08/21/2020,NE,"31,626",,,278,0,376,,,3,0,08/22/2020 02:21:09 PM,Not agree,Not agree
03/03/2020,SC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
04/29/2020,TX,"27,054",,,883,0,732,,,42,0,04/30/2020 04:07:01 PM,Not agree,Not agree
11/13/2020,MP,100,100,0,0,0,2,2,0,0,0,11/14/2020 02:44:40 PM,Agree,Agree
07/16/2020,AZ,"134,613","133,838",775,"3,259",-3,"2,492","2,353",139,58,0,07/17/2020 02:31:01 PM,Agree,Agree
05/01/2020,FSM,0,0,0,0,0,0,0,0,0,0,05/02/2020 03:47:19 PM,Agree,Agree
03/18/2020,MN,89,,,12,,0,,,0,,03/26/2020 04:22:39 PM,N/A,Agree
11/20/2020,ND,"71,540","71,540",0,"1,524",0,834,,,16,0,11/21/2020 02:59:41 PM,Agree,Not agree
05/30/2020,ID,"2,839","2,578",261,36,9,82,62,20,0,0,05/31/2020 02:43:17 PM,Agree,Agree
04/25/2020,CO,"12,868","11,533","1,335",684,146,670,564,106,-2,-15,05/25/2020 03:38:40 PM,Agree,Agree
10/01/2020,AS,0,,,0,0,0,,,0,0,10/02/2020 01:40:08 PM,,
06/23/2020,AS,0,,,0,0,0,,,0,0,06/24/2020 03:03:27 PM,,
08/04/2020,DC,"12,398",,,85,0,587,,,1,0,08/05/2020 02:13:18 PM,,
02/14/2020,AZ,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
04/04/2020,PA,"10,017",,,"1,596",,136,,,34,,04/03/2020 04:22:39 PM,Agree,Not agree
05/08/2020,AS,0,,,0,0,0,,,0,0,05/09/2020 09:26:08 PM,,
04/09/2020,AL,"2,838",,,339,,48,,,0,,04/08/2020 04:22:39 PM,Agree,Agree
01/22/2020,VT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
06/20/2020,CT,"45,715","43,763","1,952",158,5,"4,251","3,394",857,13,4,06/21/2020 02:32:57 PM,Agree,Agree
12/01/2020,MN,"322,312",,,"3,549",254,"3,674","3,543",131,22,0,12/02/2020 03:48:48 PM,N/A,Agree
10/10/2020,PR,"53,671","26,776","26,895",307,89,730,551,179,2,-1,10/11/2020 01:47:22 PM,Agree,Agree
09/19/2020,UT,"63,538","63,538",0,"1,071",0,439,439,0,2,0,09/20/2020 01:53:10 PM,Agree,Agree
08/17/2020,NJ,"190,717",,,360,48,"15,916","14,077","1,839",13,0,02/19/2021 01:38:31 PM,Not agree,Agree
05/05/2020,ID,"2,127","1,960",167,21,8,65,47,18,1,1,05/06/2020 04:23:08 PM,Agree,Agree
10/04/2020,VT,"1,785",,,7,0,58,,,0,0,10/05/2020 01:49:47 PM,Not agree,Not agree
08/16/2020,GU,558,,,56,0,5,,,0,0,08/17/2020 02:26:31 PM,Not agree,Not agree
11/24/2020,IA,"216,117",,,"2,894",832,"2,226",,,19,0,11/25/2020 02:53:15 PM,Not agree,Not agree
03/20/2020,NY,"2,694",,,"1,011",,15,,,10,,03/26/2020 04:22:39 PM,Not agree,Not agree
03/03/2020,FSM,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
12/25/2020,HI,"20,428",,,119,0,283,,,0,0,12/26/2020 02:34:18 PM,Not agree,Not agree
11/20/2020,NH,"16,797",,,520,110,507,,,1,1,11/21/2020 02:59:41 PM,Not agree,Not agree
04/02/2020,SC,"1,344","1,344",0,214,0,36,,,2,0,02/08/2021 12:00:00 AM,Agree,Not agree
